clip,mos,source,severity,freq_hz
video1.mp4,100.0,1008.mp4,0.0000,0.00
video2.mp4,22.8,1008.mp4,0.7722,6.39
video3.mp4,100.0,4204.mp4,0.0000,0.00
video4.mp4,52.6,4204.mp4,0.4736,7.36
video5.mp4,100.0,2544.mp4,0.0000,0.00
video6.mp4,28.4,2544.mp4,0.7157,7.66
video7.mp4,100.0,4403.mp4,0.0000,0.00
video8.mp4,28.0,4403.mp4,0.7201,6.71
video9.mp4,100.0,3064.mp4,0.0000,0.00
video10.mp4,63.3,3064.mp4,0.3669,3.48
video11.mp4,100.0,0299.mp4,0.0000,0.00
video12.mp4,72.9,0299.mp4,0.2708,4.69
video13.mp4,100.0,1871.mp4,0.0000,0.00
video14.mp4,52.8,1871.mp4,0.4721,4.91
video15.mp4,100.0,3257.mp4,0.0000,0.00
video16.mp4,56.8,3257.mp4,0.4323,5.17
video17.mp4,100.0,3046.mp4,0.0000,0.00
video18.mp4,10.1,3046.mp4,0.8988,7.30
video19.mp4,100.0,2620.mp4,0.0000,0.00
video20.mp4,72.0,2620.mp4,0.2797,3.67
video21.mp4,100.0,1589.mp4,0.0000,0.00
video22.mp4,33.1,1589.mp4,0.6695,4.62
video23.mp4,100.0,3197.mp4,0.0000,0.00
video24.mp4,27.3,3197.mp4,0.7274,3.83
video25.mp4,100.0,3569.mp4,0.0000,0.00
video26.mp4,48.7,3569.mp4,0.5132,7.80
video27.mp4,100.0,3329.mp4,0.0000,0.00
video28.mp4,70.1,3329.mp4,0.2988,4.25
video29.mp4,100.0,3730.mp4,0.0000,0.00
video30.mp4,64.5,3730.mp4,0.3553,7.72
video31.mp4,100.0,3625.mp4,0.0000,0.00
video32.mp4,57.1,3625.mp4,0.4289,7.16
video33.mp4,100.0,3551.mp4,0.0000,0.00
video34.mp4,15.0,3551.mp4,0.8497,6.28
video35.mp4,100.0,1028.mp4,0.0000,0.00
video36.mp4,79.9,1028.mp4,0.2005,3.78
video37.mp4,100.0,2267.mp4,0.0000,0.00
video38.mp4,27.6,2267.mp4,0.7240,3.65
video39.mp4,100.0,0458.mp4,0.0000,0.00
video40.mp4,15.8,0458.mp4,0.8417,3.80
video41.mp4,100.0,3805.mp4,0.0000,0.00
video42.mp4,26.4,3805.mp4,0.7361,5.71
video43.mp4,100.0,0268.mp4,0.0000,0.00
video44.mp4,39.8,0268.mp4,0.6024,7.02
video45.mp4,100.0,0970.mp4,0.0000,0.00
video46.mp4,79.5,0970.mp4,0.2046,3.76
video47.mp4,100.0,0845.mp4,0.0000,0.00
video48.mp4,39.2,0845.mp4,0.6076,6.51
video49.mp4,100.0,0503.mp4,0.0000,0.00
video50.mp4,65.5,0503.mp4,0.3446,3.33
video51.mp4,100.0,4342.mp4,0.0000,0.00
video52.mp4,20.9,4342.mp4,0.7908,7.59
video53.mp4,100.0,3382.mp4,0.0000,0.00
video54.mp4,58.3,3382.mp4,0.4166,4.39
video55.mp4,100.0,0301.mp4,0.0000,0.00
video56.mp4,49.8,0301.mp4,0.5023,6.92
video57.mp4,100.0,3496.mp4,0.0000,0.00
video58.mp4,31.7,3496.mp4,0.6827,4.10
video59.mp4,100.0,4054.mp4,0.0000,0.00
video60.mp4,40.8,4054.mp4,0.5918,6.98
video61.mp4,100.0,0030.mp4,0.0000,0.00
video62.mp4,52.9,0030.mp4,0.4715,4.12
video63.mp4,100.0,3439.mp4,0.0000,0.00
video64.mp4,13.7,3439.mp4,0.8628,4.66
video65.mp4,100.0,2219.mp4,0.0000,0.00
video66.mp4,71.2,2219.mp4,0.2876,6.83
video67.mp4,100.0,3511.mp4,0.0000,0.00
video68.mp4,57.5,3511.mp4,0.4255,6.10
video69.mp4,100.0,1231.mp4,0.0000,0.00
video70.mp4,31.0,1231.mp4,0.6900,5.86
video71.mp4,100.0,1254.mp4,0.0000,0.00
video72.mp4,50.7,1254.mp4,0.4930,5.73
video73.mp4,100.0,4497.mp4,0.0000,0.00
video74.mp4,40.2,4497.mp4,0.5984,3.63
video75.mp4,100.0,4255.mp4,0.0000,0.00
video76.mp4,77.1,4255.mp4,0.2294,6.32
video77.mp4,100.0,1830.mp4,0.0000,0.00
video78.mp4,21.5,1830.mp4,0.7848,5.56
video79.mp4,100.0,2823.mp4,0.0000,0.00
video80.mp4,62.4,2823.mp4,0.3755,6.58
video81.mp4,100.0,0104.mp4,0.0000,0.00
video82.mp4,37.3,0104.mp4,0.6269,3.27
video83.mp4,100.0,0656.mp4,0.0000,0.00
video84.mp4,38.4,0656.mp4,0.6160,5.14
